s	width	allele counts	se_f	f	n	f_per_kb
-0.1	1.224744871391589	712.4001081403561	9.864078245601815e-4	3.0068965517241413e-4	25	3.0068965517241415e-9
-0.1	1.224744871391589	871.9671002105022	0.0012771332016966875	4.3409090909090893e-4	25	4.340909090909089e-9
-0.1	1.224744871391589	1067.2747170607029	0	0	25	0
-0.1	1.224744871391589	1306.3283252338515	7.320754716981131e-4	1.4641509433962262e-4	25	1.4641509433962262e-9
-0.1	1.224744871391589	1598.9263739030541	1.8575851393188854e-5	3.7151702786377705e-6	25	3.71517027863777e-11
-0.1	1.224744871391589	1957.062018620097	0	0	25	0
-0.1	1.224744871391589	2395.4147027895547	0	0	25	0
-0.1	1.224744871391589	2931.9518460565623	0	0	25	0
-0.1	1.224744871391589	3588.6653019135715	0	0	25	0
-0.1	1.224744871391589	4392.472770819839	0	0	25	0
-0.1	1.224744871391589	5376.321116406638	0	0	25	0
-0.1	1.224744871391589	6580.536808046029	0	0	25	0
-0.1	1.224744871391589	8054.478842400569	0	0	25	0
-0.1	1.224744871391589	9858.561894731161	0	0	25	0
-0.1	1.224744871391589	12066.732625903607	0	0	25	0
-0.1	1.224744871391589	14769.500645207127	0	0	25	0
-0.1	1.224744871391589	18077.64836360904	0	0	25	0
-0.1	11.022703842524301	1	0	0	25	0
-0.1	11.022703842524301	1.106338589938541	5.0079187959337625	88.4056	25	8.840560000000001e-4
-0.1	11.022703842524301	1.3541419226309606	0	0	25	0
-0.1	11.022703842524301	1.6574495035272516	0	0	25	0
-0.1	11.022703842524301	2.0286934558567684	3.0736868740976204	47.8752	25	4.7875200000000004e-4
-0.1	11.022703842524301	2.4830905129101035	0	0	25	0
-0.1	11.022703842524301	3.0392657291341303	2.219352383016271	27.492	25	2.7492e-4
-0.1	11.022703842524301	3.720015893203823	1.637211857600191	17.7372	25	1.77372e-4
-0.1	11.022703842524301	4.5532439342286635	1.0336509726853322	11.1452	25	1.1145200000000002e-4
-0.1	11.022703842524301	5.573102621003827	0.8942346820978633	7.7216	25	7.7216e-5
-0.1	11.022703842524301	6.821394432824586	0.5942521911332482	5.1624	25	5.1624e-5
-0.1	11.022703842524301	8.349284980470902	0.48337080314530106	3.3366	25	3.3366e-5
-0.1	11.022703842524301	10.21940020792074	0.35957440120231027	1.8800000000000001	25	1.88e-5
-0.1	11.022703842524301	12.508393335947712	0.2747313839613766	1.1476	25	1.1476e-5
-0.1	11.022703842524301	15.310086762774377	0.222365897998305	0.6837333333333333	25	6.837333333333333e-6
-0.1	11.022703842524301	18.739317703580973	0.15687196212198024	0.3673	25	3.6730000000000002e-6
-0.1	11.022703842524301	22.936645195870106	0.0990106391589644	0.1797599999999999	25	1.7975999999999989e-6
-0.1	11.022703842524301	28.074111403783828	0.05471542540982184	0.0742	25	7.420000000000001e-7
-0.1	11.022703842524301	34.362293368603815	0.025707406487223097	0.022742857142857145	25	2.2742857142857146e-7
-0.1	11.022703842524301	42.058934246120046	0.012156102719759048	0.00705	25	7.05e-8
-0.1	11.022703842524301	51.479507812354285	0.008876373133211561	0.0030400000000000006	25	3.040000000000001e-8
-0.1	11.022703842524301	63.0101492608963	0.002926448797451026	6.461538461538459e-4	25	6.4615384615384585e-9
-0.1	11.022703842524301	77.12348230585881	1.25e-4	2.5e-5	25	2.5e-10
-0.1	11.022703842524301	94.39799131968466	0	0	25	0
-0.1	11.022703842524301	115.54173254070393	0	0	25	0
-0.1	11.022703842524301	141.4213562373095	0	0	25	0
-0.1	11.022703842524301	173.0976294037676	0	0	25	0
-0.1	11.022703842524301	211.86891500973533	0	0	25	0
-0.1	11.022703842524301	259.3243899527689	0	0	25	0
-0.1	11.022703842524301	317.409183037944	0	0	25	0
-0.1	11.022703842524301	388.50410289276914	0	0	25	0
-0.1	11.022703842524301	475.5232237451433	0	0	25	0
-0.1	11.022703842524301	582.0333289591675	0	0	25	0
-0.1	11.022703842524301	712.4001081403561	0	0	25	0
-0.1	11.022703842524301	871.9671002105022	0	0	25	0
-0.1	11.022703842524301	1067.2747170607029	0	0	25	0
-0.1	11.022703842524301	1306.3283252338515	0	0	25	0
-0.1	11.022703842524301	1598.9263739030541	0	0	25	0
-0.1	11.022703842524301	1957.062018620097	0	0	25	0
-0.1	11.022703842524301	2395.4147027895547	0	0	25	0
-0.1	11.022703842524301	2931.9518460565623	0	0	25	0
-0.1	11.022703842524301	3588.6653019135715	0	0	25	0
-0.1	11.022703842524301	4392.472770819839	0	0	25	0
-0.1	11.022703842524301	5376.321116406638	0	0	25	0
-0.1	11.022703842524301	6580.536808046029	0	0	25	0
-0.1	11.022703842524301	8054.478842400569	0	0	25	0
-0.1	11.022703842524301	9858.561894731161	0	0	25	0
-0.1	11.022703842524301	12066.732625903607	0	0	25	0
-0.1	11.022703842524301	14769.500645207127	0	0	25	0
-0.1	11.022703842524301	18077.64836360904	0	0	25	0
-0.1	12.24744871391589	1	0	0	25	0
-0.1	12.24744871391589	1.106338589938541	5.663050179305613	101.9204	25	0.0010192040000000001
-0.1	12.24744871391589	1.3541419226309606	0	0	25	0
-0.1	12.24744871391589	1.6574495035272516	0	0	25	0
-0.1	12.24744871391589	2.0286934558567684	3.2008833676554556	54.1272	25	5.41272e-4
-0.1	12.24744871391589	2.4830905129101035	0	0	25	0
-0.1	12.24744871391589	3.0392657291341303	2.4048982653465125	29.9424	25	2.9942399999999996e-4
-0.1	12.24744871391589	3.720015893203823	1.7675564111695747	18.2916	25	1.8291599999999998e-4
-0.1	12.24744871391589	4.5532439342286635	1.0610375425340361	11.0256	25	1.1025600000000001e-4
-0.1	12.24744871391589	5.573102621003827	0.9426381419540941	7.66	25	7.659999999999999e-5
-0.1	12.24744871391589	6.821394432824586	0.5184872226005189	4.9304	25	4.9303999999999994e-5
-0.1	12.24744871391589	8.349284980470902	0.4508623219269197	3.0768	25	3.0768e-5
-0.1	12.24744871391589	10.21940020792074	0.39562524354916145	1.7038	25	1.7038e-5
-0.1	12.24744871391589	12.508393335947712	0.2762999577753617	1.011	25	1.011e-5
-0.1	12.24744871391589	15.310086762774377	0.20217813927326567	0.5952000000000001	25	5.952000000000001e-6
-0.1	12.24744871391589	18.739317703580973	0.14403247608323155	0.3036	25	3.036e-6
-0.1	12.24744871391589	22.936645195870106	0.07647151975299901	0.12767999999999993	25	1.2767999999999994e-6
