s	width	allele counts	se_f	f	n	f_per_kb
-0.1	11.022703842524301	6.821394432824586	2.8837676166200823	72.6064	25	7.26064e-4
-0.1	11.022703842524301	8.349284980470902	2.486958450262756	59.6196	25	5.96196e-4
-0.1	11.022703842524301	10.21940020792074	1.9408689634628435	46.9416	25	4.69416e-4
-0.1	11.022703842524301	12.508393335947712	1.7612903650449012	38.856	25	3.8856000000000003e-4
-0.1	11.022703842524301	15.310086762774377	1.5393618567204799	32.145599999999995	25	3.2145599999999997e-4
-0.1	11.022703842524301	18.739317703580973	1.2974571524717105	25.6693	25	2.56693e-4
-0.1	11.022703842524301	22.936645195870106	1.2308898298927233	20.15824	25	2.0158239999999998e-4
-0.1	11.022703842524301	28.074111403783828	1.0113853031765299	15.772666666666666	25	1.5772666666666666e-4
-0.1	11.022703842524301	34.362293368603815	0.919873649265074	12.644914285714286	25	1.2644914285714286e-4
-0.1	11.022703842524301	42.058934246120046	0.8225832657954248	10.342	25	1.0342000000000001e-4
-0.1	11.022703842524301	51.479507812354285	0.6063019654704525	8.46464	25	8.46464e-5
-0.1	11.022703842524301	63.0101492608963	0.40609468537660515	6.762338461538461	25	6.762338461538461e-5
-0.1	11.022703842524301	77.12348230585881	0.4158840389509637	5.404775	25	5.4047750000000004e-5
-0.1	11.022703842524301	94.39799131968466	0.4230700572185014	4.290842105263158	25	4.290842105263158e-5
-0.1	11.022703842524301	115.54173254070393	0.3039188415610797	3.349269565217391	25	3.349269565217391e-5
-0.1	11.022703842524301	141.4213562373095	0.2193566811094757	2.625903448275862	25	2.625903448275862e-5
-0.1	11.022703842524301	173.0976294037676	0.18858925456869388	2.0260342857142857	25	2.0260342857142856e-5
-0.1	11.022703842524301	211.86891500973533	0.1642809923772772	1.5800372093023256	25	1.5800372093023254e-5
-0.1	11.022703842524301	259.3243899527689	0.11966916766381014	1.2160307692307692	25	1.2160307692307694e-5
-0.1	11.022703842524301	317.409183037944	0.08401390980915097	0.9600553846153843	25	9.600553846153843e-6
-0.1	11.022703842524301	388.50410289276914	0.068465359700009	0.7525897435897435	25	7.525897435897434e-6
-0.1	11.022703842524301	475.5232237451433	0.05978811502639412	0.5693773195876289	25	5.693773195876289e-6
-0.1	11.022703842524301	582.0333289591675	0.05159951664126988	0.4006427350427347	25	4.0064273504273465e-6
-0.1	11.022703842524301	712.4001081403561	0.03473690824314261	0.2995862068965517	25	2.9958620689655168e-6
-0.1	11.022703842524301	871.9671002105022	0.033674857363066364	0.22353636363636362	25	2.235363636363636e-6
-0.1	11.022703842524301	1067.2747170607029	0.02722047030769835	0.17630555555555552	25	1.7630555555555553e-6
-0.1	11.022703842524301	1306.3283252338515	0.016261797754729797	0.1208830188679246	25	1.2088301886792459e-6
-0.1	11.022703842524301	1598.9263739030541	0.017215151185712783	0.08878637770897835	25	8.878637770897835e-7
-0.1	11.022703842524301	1957.062018620097	0.01105766989770404	0.059952644836272044	25	5.995264483627204e-7
-0.1	11.022703842524301	2395.4147027895547	0.009281196737941118	0.04384659793814426	25	4.3846597938144255e-7
-0.1	11.022703842524301	2931.9518460565623	0.005666330230522697	0.03332344013490725	25	3.332344013490725e-7
